12/02/2023 13:39:12 - 0144:	 - train_loss: 0.355970:	 - test_loss: 0.401695:	 mIoU 0.7074
12/02/2023 13:39:16 - 0145:	 - train_loss: 0.370695:	 - test_loss: 0.413876:	 mIoU 0.6924
12/02/2023 13:39:20 - 0146:	 - train_loss: 0.350770:	 - test_loss: 0.415450:	 mIoU 0.6888
12/02/2023 13:39:23 - 0147:	 - train_loss: 0.355784:	 - test_loss: 0.418749:	 mIoU 0.6917
12/02/2023 13:39:27 - 0148:	 - train_loss: 0.352267:	 - test_loss: 0.406286:	 mIoU 0.7019
12/02/2023 13:39:30 - 0149:	 - train_loss: 0.371803:	 - test_loss: 0.406445:	 mIoU 0.7009
12/02/2023 13:39:34 - 0150:	 - train_loss: 0.372401:	 - test_loss: 0.404805:	 mIoU 0.6987
12/02/2023 13:39:37 - 0151:	 - train_loss: 0.358237:	 - test_loss: 0.402337:	 mIoU 0.6987
12/02/2023 13:39:41 - 0152:	 - train_loss: 0.379223:	 - test_loss: 0.415551:	 mIoU 0.6936
12/02/2023 13:39:44 - 0153:	 - train_loss: 0.351812:	 - test_loss: 0.408892:	 mIoU 0.7019
12/02/2023 13:39:48 - 0154:	 - train_loss: 0.358978:	 - test_loss: 0.397512:	 mIoU 0.7116
12/02/2023 13:39:51 - 0155:	 - train_loss: 0.371946:	 - test_loss: 0.397755:	 mIoU 0.7125
12/02/2023 13:39:55 - 0156:	 - train_loss: 0.381807:	 - test_loss: 0.403799:	 mIoU 0.7033
12/02/2023 13:39:58 - 0157:	 - train_loss: 0.343683:	 - test_loss: 0.401396:	 mIoU 0.7084
12/02/2023 13:40:02 - 0158:	 - train_loss: 0.373467:	 - test_loss: 0.411834:	 mIoU 0.6957
12/02/2023 13:40:06 - 0159:	 - train_loss: 0.362380:	 - test_loss: 0.412242:	 mIoU 0.6978
12/02/2023 13:40:09 - 0160:	 - train_loss: 0.361195:	 - test_loss: 0.394408:	 mIoU 0.7164
12/02/2023 13:40:13 - 0161:	 - train_loss: 0.361582:	 - test_loss: 0.395553:	 mIoU 0.7100
12/02/2023 13:40:16 - 0162:	 - train_loss: 0.341269:	 - test_loss: 0.395923:	 mIoU 0.7149
12/02/2023 13:40:20 - 0163:	 - train_loss: 0.355382:	 - test_loss: 0.395158:	 mIoU 0.7175
12/02/2023 13:40:23 - 0164:	 - train_loss: 0.344781:	 - test_loss: 0.418532:	 mIoU 0.6867
12/02/2023 13:40:27 - 0165:	 - train_loss: 0.348937:	 - test_loss: 0.423902:	 mIoU 0.6799
12/02/2023 13:40:30 - 0166:	 - train_loss: 0.343139:	 - test_loss: 0.406414:	 mIoU 0.7019
12/02/2023 13:40:34 - 0167:	 - train_loss: 0.367081:	 - test_loss: 0.451566:	 mIoU 0.6378
12/02/2023 13:40:37 - 0168:	 - train_loss: 0.386613:	 - test_loss: 0.404612:	 mIoU 0.7006
12/02/2023 13:40:41 - 0169:	 - train_loss: 0.361312:	 - test_loss: 0.437714:	 mIoU 0.6596
12/02/2023 13:40:44 - 0170:	 - train_loss: 0.355348:	 - test_loss: 0.398924:	 mIoU 0.7078
12/02/2023 13:40:48 - 0171:	 - train_loss: 0.364413:	 - test_loss: 0.409854:	 mIoU 0.6948
12/02/2023 13:40:51 - 0172:	 - train_loss: 0.359325:	 - test_loss: 0.408133:	 mIoU 0.7015
12/02/2023 13:40:55 - 0173:	 - train_loss: 0.371711:	 - test_loss: 0.400896:	 mIoU 0.7077
12/02/2023 13:40:59 - 0174:	 - train_loss: 0.333230:	 - test_loss: 0.413025:	 mIoU 0.6942
12/02/2023 13:41:02 - 0175:	 - train_loss: 0.359616:	 - test_loss: 0.397175:	 mIoU 0.7147
12/02/2023 13:41:06 - 0176:	 - train_loss: 0.368859:	 - test_loss: 0.405264:	 mIoU 0.7057
12/02/2023 13:41:09 - 0177:	 - train_loss: 0.353010:	 - test_loss: 0.408729:	 mIoU 0.7023
12/02/2023 13:41:13 - 0178:	 - train_loss: 0.369339:	 - test_loss: 0.404405:	 mIoU 0.6997
12/02/2023 13:41:16 - 0179:	 - train_loss: 0.335031:	 - test_loss: 0.405785:	 mIoU 0.7058
12/02/2023 13:41:20 - 0180:	 - train_loss: 0.364681:	 - test_loss: 0.398570:	 mIoU 0.7089
12/02/2023 13:41:23 - 0181:	 - train_loss: 0.351514:	 - test_loss: 0.400757:	 mIoU 0.7029
12/02/2023 13:41:27 - 0182:	 - train_loss: 0.339856:	 - test_loss: 0.397439:	 mIoU 0.7086
12/02/2023 13:41:31 - 0183:	 - train_loss: 0.348857:	 - test_loss: 0.398876:	 mIoU 0.7068
12/02/2023 13:41:34 - 0184:	 - train_loss: 0.348910:	 - test_loss: 0.407184:	 mIoU 0.6978
12/02/2023 13:41:38 - 0185:	 - train_loss: 0.354350:	 - test_loss: 0.408427:	 mIoU 0.6965
12/02/2023 13:41:41 - 0186:	 - train_loss: 0.354542:	 - test_loss: 0.398437:	 mIoU 0.7126
12/02/2023 13:41:45 - 0187:	 - train_loss: 0.347756:	 - test_loss: 0.400766:	 mIoU 0.7096
12/02/2023 13:41:48 - 0188:	 - train_loss: 0.371866:	 - test_loss: 0.395303:	 mIoU 0.7171
12/02/2023 13:41:52 - 0189:	 - train_loss: 0.361018:	 - test_loss: 0.390491:	 mIoU 0.7217
12/02/2023 13:41:55 - 0190:	 - train_loss: 0.348343:	 - test_loss: 0.393507:	 mIoU 0.7142
12/02/2023 13:41:59 - 0191:	 - train_loss: 0.356230:	 - test_loss: 0.398521:	 mIoU 0.7100
12/02/2023 13:42:02 - 0192:	 - train_loss: 0.358721:	 - test_loss: 0.399311:	 mIoU 0.7086
12/02/2023 13:42:06 - 0193:	 - train_loss: 0.345443:	 - test_loss: 0.391418:	 mIoU 0.7230
12/02/2023 13:42:09 - 0194:	 - train_loss: 0.339455:	 - test_loss: 0.393635:	 mIoU 0.7114
12/02/2023 13:42:13 - 0195:	 - train_loss: 0.316738:	 - test_loss: 0.401852:	 mIoU 0.7156
12/02/2023 13:42:17 - 0196:	 - train_loss: 0.343868:	 - test_loss: 0.395879:	 mIoU 0.7099
12/02/2023 13:42:20 - 0197:	 - train_loss: 0.372423:	 - test_loss: 0.391512:	 mIoU 0.7174
12/02/2023 13:42:24 - 0198:	 - train_loss: 0.363634:	 - test_loss: 0.391325:	 mIoU 0.7178
12/02/2023 13:42:27 - 0199:	 - train_loss: 0.356228:	 - test_loss: 0.394337:	 mIoU 0.7195
12/02/2023 13:42:31 - 0200:	 - train_loss: 0.369731:	 - test_loss: 0.401676:	 mIoU 0.7104
12/02/2023 13:42:34 - 0201:	 - train_loss: 0.321620:	 - test_loss: 0.395855:	 mIoU 0.7172
12/02/2023 13:42:38 - 0202:	 - train_loss: 0.328122:	 - test_loss: 0.397915:	 mIoU 0.7143
12/02/2023 13:42:41 - 0203:	 - train_loss: 0.355475:	 - test_loss: 0.411814:	 mIoU 0.6987
12/02/2023 13:42:45 - 0204:	 - train_loss: 0.349601:	 - test_loss: 0.397258:	 mIoU 0.7060
12/02/2023 13:42:48 - 0205:	 - train_loss: 0.349183:	 - test_loss: 0.387920:	 mIoU 0.7221
12/02/2023 13:42:52 - 0206:	 - train_loss: 0.359456:	 - test_loss: 0.401985:	 mIoU 0.7043
12/02/2023 13:42:55 - 0207:	 - train_loss: 0.330067:	 - test_loss: 0.395744:	 mIoU 0.7152
12/02/2023 13:42:59 - 0208:	 - train_loss: 0.361201:	 - test_loss: 0.392879:	 mIoU 0.7185
12/02/2023 13:43:03 - 0209:	 - train_loss: 0.349398:	 - test_loss: 0.393725:	 mIoU 0.7139
12/02/2023 13:43:06 - 0210:	 - train_loss: 0.339112:	 - test_loss: 0.393623:	 mIoU 0.7100
12/02/2023 13:43:10 - 0211:	 - train_loss: 0.346373:	 - test_loss: 0.392691:	 mIoU 0.7145
12/02/2023 13:43:13 - 0212:	 - train_loss: 0.359798:	 - test_loss: 0.397347:	 mIoU 0.7076
12/02/2023 13:43:17 - 0213:	 - train_loss: 0.334602:	 - test_loss: 0.397110:	 mIoU 0.7082
12/02/2023 13:43:20 - 0214:	 - train_loss: 0.351328:	 - test_loss: 0.407335:	 mIoU 0.6936
12/02/2023 13:43:24 - 0215:	 - train_loss: 0.344298:	 - test_loss: 0.394721:	 mIoU 0.7119
12/02/2023 13:43:27 - 0216:	 - train_loss: 0.357513:	 - test_loss: 0.423736:	 mIoU 0.6859
12/02/2023 13:43:31 - 0217:	 - train_loss: 0.343506:	 - test_loss: 0.422017:	 mIoU 0.6706
12/02/2023 13:43:34 - 0218:	 - train_loss: 0.342842:	 - test_loss: 0.409812:	 mIoU 0.6878
12/02/2023 13:43:38 - 0219:	 - train_loss: 0.357065:	 - test_loss: 0.403148:	 mIoU 0.6942
12/02/2023 13:43:41 - 0220:	 - train_loss: 0.364304:	 - test_loss: 0.406716:	 mIoU 0.6919
12/02/2023 13:43:45 - 0221:	 - train_loss: 0.325276:	 - test_loss: 0.397468:	 mIoU 0.7049
12/02/2023 13:43:49 - 0222:	 - train_loss: 0.348754:	 - test_loss: 0.405308:	 mIoU 0.6911
12/02/2023 13:43:52 - 0223:	 - train_loss: 0.334935:	 - test_loss: 0.404678:	 mIoU 0.6922
12/02/2023 13:43:56 - 0224:	 - train_loss: 0.341182:	 - test_loss: 0.400717:	 mIoU 0.6974
12/02/2023 13:43:59 - 0225:	 - train_loss: 0.363697:	 - test_loss: 0.391106:	 mIoU 0.7107
12/02/2023 13:44:03 - 0226:	 - train_loss: 0.363155:	 - test_loss: 0.410374:	 mIoU 0.6856
12/02/2023 13:44:06 - 0227:	 - train_loss: 0.344511:	 - test_loss: 0.397006:	 mIoU 0.7047
12/02/2023 13:44:10 - 0228:	 - train_loss: 0.333516:	 - test_loss: 0.393903:	 mIoU 0.7066
12/02/2023 13:44:13 - 0229:	 - train_loss: 0.335953:	 - test_loss: 0.392392:	 mIoU 0.7128
12/02/2023 13:44:17 - 0230:	 - train_loss: 0.359003:	 - test_loss: 0.398623:	 mIoU 0.7042
12/02/2023 13:44:20 - 0231:	 - train_loss: 0.350669:	 - test_loss: 0.400439:	 mIoU 0.7081
12/02/2023 13:44:24 - 0232:	 - train_loss: 0.365031:	 - test_loss: 0.398977:	 mIoU 0.7068
