31/01/2023 12:51:32 - 0073:	 - train_loss: 0.424229:	 - test_loss: 0.421324:	 mIoU 0.7043
31/01/2023 12:51:40 - 0074:	 - train_loss: 0.398576:	 - test_loss: 0.430812:	 mIoU 0.6894
31/01/2023 12:51:48 - 0075:	 - train_loss: 0.405275:	 - test_loss: 0.424897:	 mIoU 0.6984
31/01/2023 12:51:55 - 0076:	 - train_loss: 0.386224:	 - test_loss: 0.415801:	 mIoU 0.7099
31/01/2023 12:52:03 - 0077:	 - train_loss: 0.396558:	 - test_loss: 0.421851:	 mIoU 0.7050
31/01/2023 12:52:11 - 0078:	 - train_loss: 0.384896:	 - test_loss: 0.420251:	 mIoU 0.7037
31/01/2023 12:52:19 - 0079:	 - train_loss: 0.385362:	 - test_loss: 0.423955:	 mIoU 0.6999
31/01/2023 12:52:27 - 0080:	 - train_loss: 0.400038:	 - test_loss: 0.418627:	 mIoU 0.7075
31/01/2023 12:52:34 - 0081:	 - train_loss: 0.349071:	 - test_loss: 0.422342:	 mIoU 0.7039
31/01/2023 12:52:42 - 0082:	 - train_loss: 0.394747:	 - test_loss: 0.419646:	 mIoU 0.7069
31/01/2023 12:52:50 - 0083:	 - train_loss: 0.392339:	 - test_loss: 0.422333:	 mIoU 0.7091
31/01/2023 12:52:58 - 0084:	 - train_loss: 0.368079:	 - test_loss: 0.415391:	 mIoU 0.7142
31/01/2023 12:53:06 - 0085:	 - train_loss: 0.389671:	 - test_loss: 0.419551:	 mIoU 0.7028
31/01/2023 12:53:13 - 0086:	 - train_loss: 0.405569:	 - test_loss: 0.434870:	 mIoU 0.6829
31/01/2023 12:53:21 - 0087:	 - train_loss: 0.418096:	 - test_loss: 0.430382:	 mIoU 0.6981
31/01/2023 12:53:29 - 0088:	 - train_loss: 0.395313:	 - test_loss: 0.434154:	 mIoU 0.6893
31/01/2023 12:53:37 - 0089:	 - train_loss: 0.412432:	 - test_loss: 0.545836:	 mIoU 0.5462
31/01/2023 12:53:45 - 0090:	 - train_loss: 0.392535:	 - test_loss: 0.447916:	 mIoU 0.6658
31/01/2023 12:53:53 - 0091:	 - train_loss: 0.403965:	 - test_loss: 0.441097:	 mIoU 0.6770
31/01/2023 12:54:00 - 0092:	 - train_loss: 0.388082:	 - test_loss: 0.430905:	 mIoU 0.6951
31/01/2023 12:54:08 - 0093:	 - train_loss: 0.398083:	 - test_loss: 0.417262:	 mIoU 0.7100
31/01/2023 12:54:16 - 0094:	 - train_loss: 0.382871:	 - test_loss: 0.419901:	 mIoU 0.7074
31/01/2023 12:54:24 - 0095:	 - train_loss: 0.372656:	 - test_loss: 0.439341:	 mIoU 0.6774
31/01/2023 12:54:32 - 0096:	 - train_loss: 0.395991:	 - test_loss: 0.431919:	 mIoU 0.6833
31/01/2023 12:54:39 - 0097:	 - train_loss: 0.384484:	 - test_loss: 0.435590:	 mIoU 0.6788
31/01/2023 12:54:47 - 0098:	 - train_loss: 0.370054:	 - test_loss: 0.417749:	 mIoU 0.7106
31/01/2023 12:54:55 - 0099:	 - train_loss: 0.388137:	 - test_loss: 0.418282:	 mIoU 0.7049
31/01/2023 12:55:03 - 0100:	 - train_loss: 0.383906:	 - test_loss: 0.439960:	 mIoU 0.6703
31/01/2023 12:55:11 - 0101:	 - train_loss: 0.424862:	 - test_loss: 0.462135:	 mIoU 0.6491
31/01/2023 12:55:19 - 0102:	 - train_loss: 0.390990:	 - test_loss: 0.416383:	 mIoU 0.7135
31/01/2023 12:55:26 - 0103:	 - train_loss: 0.396466:	 - test_loss: 0.409106:	 mIoU 0.7164
31/01/2023 12:55:34 - 0104:	 - train_loss: 0.364526:	 - test_loss: 0.410673:	 mIoU 0.7160
31/01/2023 12:55:42 - 0105:	 - train_loss: 0.380111:	 - test_loss: 0.410751:	 mIoU 0.7134
31/01/2023 12:55:50 - 0106:	 - train_loss: 0.380829:	 - test_loss: 0.407678:	 mIoU 0.7169
31/01/2023 12:55:58 - 0107:	 - train_loss: 0.379246:	 - test_loss: 0.418276:	 mIoU 0.7101
31/01/2023 12:56:05 - 0108:	 - train_loss: 0.370499:	 - test_loss: 0.410936:	 mIoU 0.7163
31/01/2023 12:56:13 - 0109:	 - train_loss: 0.367792:	 - test_loss: 0.410273:	 mIoU 0.7165
31/01/2023 12:56:21 - 0110:	 - train_loss: 0.368161:	 - test_loss: 0.411550:	 mIoU 0.7135
31/01/2023 12:56:29 - 0111:	 - train_loss: 0.379718:	 - test_loss: 0.415692:	 mIoU 0.7148
31/01/2023 12:56:37 - 0112:	 - train_loss: 0.379317:	 - test_loss: 0.429088:	 mIoU 0.6931
31/01/2023 12:56:44 - 0113:	 - train_loss: 0.371885:	 - test_loss: 0.431409:	 mIoU 0.6900
31/01/2023 12:56:52 - 0114:	 - train_loss: 0.346182:	 - test_loss: 0.411575:	 mIoU 0.7136
31/01/2023 12:57:00 - 0115:	 - train_loss: 0.370072:	 - test_loss: 0.426759:	 mIoU 0.7004
31/01/2023 12:57:08 - 0116:	 - train_loss: 0.377040:	 - test_loss: 0.401336:	 mIoU 0.7240
31/01/2023 12:57:16 - 0117:	 - train_loss: 0.386057:	 - test_loss: 0.409549:	 mIoU 0.7180
31/01/2023 12:57:23 - 0118:	 - train_loss: 0.389557:	 - test_loss: 0.408387:	 mIoU 0.7226
31/01/2023 12:57:31 - 0119:	 - train_loss: 0.361827:	 - test_loss: 0.408562:	 mIoU 0.7204
31/01/2023 12:57:39 - 0120:	 - train_loss: 0.383540:	 - test_loss: 0.415919:	 mIoU 0.7115
31/01/2023 12:57:47 - 0121:	 - train_loss: 0.374811:	 - test_loss: 0.401445:	 mIoU 0.7250
31/01/2023 12:57:55 - 0122:	 - train_loss: 0.399360:	 - test_loss: 0.408471:	 mIoU 0.7153
31/01/2023 12:58:03 - 0123:	 - train_loss: 0.380174:	 - test_loss: 0.434313:	 mIoU 0.6966
31/01/2023 12:58:11 - 0124:	 - train_loss: 0.371875:	 - test_loss: 0.418052:	 mIoU 0.7119
31/01/2023 12:58:18 - 0125:	 - train_loss: 0.353246:	 - test_loss: 0.415265:	 mIoU 0.7130
31/01/2023 12:58:26 - 0126:	 - train_loss: 0.364237:	 - test_loss: 0.420396:	 mIoU 0.7060
31/01/2023 12:58:34 - 0127:	 - train_loss: 0.360626:	 - test_loss: 0.429528:	 mIoU 0.6974
31/01/2023 12:58:42 - 0128:	 - train_loss: 0.364465:	 - test_loss: 0.413453:	 mIoU 0.7116
31/01/2023 12:58:50 - 0129:	 - train_loss: 0.384457:	 - test_loss: 0.404287:	 mIoU 0.7261
31/01/2023 12:58:58 - 0130:	 - train_loss: 0.362140:	 - test_loss: 0.403110:	 mIoU 0.7248
31/01/2023 12:59:06 - 0131:	 - train_loss: 0.372582:	 - test_loss: 0.422965:	 mIoU 0.7003
31/01/2023 12:59:14 - 0132:	 - train_loss: 0.362462:	 - test_loss: 0.406331:	 mIoU 0.7156
31/01/2023 12:59:22 - 0133:	 - train_loss: 0.384716:	 - test_loss: 0.398989:	 mIoU 0.7253
31/01/2023 12:59:30 - 0134:	 - train_loss: 0.359128:	 - test_loss: 0.406623:	 mIoU 0.7228
31/01/2023 12:59:37 - 0135:	 - train_loss: 0.360399:	 - test_loss: 0.422234:	 mIoU 0.7077
31/01/2023 12:59:45 - 0136:	 - train_loss: 0.385282:	 - test_loss: 0.427091:	 mIoU 0.6877
31/01/2023 12:59:53 - 0137:	 - train_loss: 0.396485:	 - test_loss: 0.401301:	 mIoU 0.7268
31/01/2023 13:00:01 - 0138:	 - train_loss: 0.387645:	 - test_loss: 0.395824:	 mIoU 0.7313
31/01/2023 13:00:09 - 0139:	 - train_loss: 0.363619:	 - test_loss: 0.403615:	 mIoU 0.7311
31/01/2023 13:00:17 - 0140:	 - train_loss: 0.412291:	 - test_loss: 0.405050:	 mIoU 0.7170
31/01/2023 13:00:25 - 0141:	 - train_loss: 0.356033:	 - test_loss: 0.407991:	 mIoU 0.7119
31/01/2023 13:00:33 - 0142:	 - train_loss: 0.382453:	 - test_loss: 0.415712:	 mIoU 0.7100
31/01/2023 13:00:41 - 0143:	 - train_loss: 0.401877:	 - test_loss: 0.415549:	 mIoU 0.7051
31/01/2023 13:00:49 - 0144:	 - train_loss: 0.384768:	 - test_loss: 0.413046:	 mIoU 0.7139
31/01/2023 13:00:56 - 0145:	 - train_loss: 0.350197:	 - test_loss: 0.403726:	 mIoU 0.7197
31/01/2023 13:01:04 - 0146:	 - train_loss: 0.358991:	 - test_loss: 0.405209:	 mIoU 0.7165
31/01/2023 13:01:12 - 0147:	 - train_loss: 0.371330:	 - test_loss: 0.404756:	 mIoU 0.7177
31/01/2023 13:01:20 - 0148:	 - train_loss: 0.357087:	 - test_loss: 0.405387:	 mIoU 0.7185
31/01/2023 13:01:28 - 0149:	 - train_loss: 0.369594:	 - test_loss: 0.400213:	 mIoU 0.7204
31/01/2023 13:01:36 - 0150:	 - train_loss: 0.378258:	 - test_loss: 0.411136:	 mIoU 0.7017
31/01/2023 13:01:44 - 0151:	 - train_loss: 0.359169:	 - test_loss: 0.400217:	 mIoU 0.7192
31/01/2023 13:01:52 - 0152:	 - train_loss: 0.353557:	 - test_loss: 0.402096:	 mIoU 0.7175
31/01/2023 13:02:00 - 0153:	 - train_loss: 0.348832:	 - test_loss: 0.404739:	 mIoU 0.7120
31/01/2023 13:02:08 - 0154:	 - train_loss: 0.361365:	 - test_loss: 0.406237:	 mIoU 0.7084
31/01/2023 13:02:15 - 0155:	 - train_loss: 0.346765:	 - test_loss: 0.403197:	 mIoU 0.7142
31/01/2023 13:02:23 - 0156:	 - train_loss: 0.383387:	 - test_loss: 0.404322:	 mIoU 0.7193
31/01/2023 13:02:31 - 0157:	 - train_loss: 0.352229:	 - test_loss: 0.396612:	 mIoU 0.7251
31/01/2023 13:02:39 - 0158:	 - train_loss: 0.372710:	 - test_loss: 0.400787:	 mIoU 0.7247
31/01/2023 13:02:47 - 0159:	 - train_loss: 0.364226:	 - test_loss: 0.391177:	 mIoU 0.7322
31/01/2023 13:02:55 - 0160:	 - train_loss: 0.364794:	 - test_loss: 0.444142:	 mIoU 0.6617
31/01/2023 13:03:03 - 0161:	 - train_loss: 0.419366:	 - test_loss: 0.415117:	 mIoU 0.7143
31/01/2023 13:03:11 - 0162:	 - train_loss: 0.385208:	 - test_loss: 0.413286:	 mIoU 0.7002
31/01/2023 13:03:19 - 0163:	 - train_loss: 0.344079:	 - test_loss: 0.409301:	 mIoU 0.7100
31/01/2023 13:03:27 - 0164:	 - train_loss: 0.357454:	 - test_loss: 0.407411:	 mIoU 0.7156
31/01/2023 13:03:34 - 0165:	 - train_loss: 0.367535:	 - test_loss: 0.407863:	 mIoU 0.7177
31/01/2023 13:03:42 - 0166:	 - train_loss: 0.365338:	 - test_loss: 0.407349:	 mIoU 0.7170
31/01/2023 13:03:50 - 0167:	 - train_loss: 0.354858:	 - test_loss: 0.407556:	 mIoU 0.7107
31/01/2023 13:03:58 - 0168:	 - train_loss: 0.363454:	 - test_loss: 0.394025:	 mIoU 0.7293
31/01/2023 13:04:06 - 0169:	 - train_loss: 0.360142:	 - test_loss: 0.401546:	 mIoU 0.7201
31/01/2023 13:04:14 - 0170:	 - train_loss: 0.355113:	 - test_loss: 0.398900:	 mIoU 0.7226
31/01/2023 13:04:22 - 0171:	 - train_loss: 0.349756:	 - test_loss: 0.407589:	 mIoU 0.7131
31/01/2023 13:04:30 - 0172:	 - train_loss: 0.358217:	 - test_loss: 0.395236:	 mIoU 0.7287
31/01/2023 13:04:38 - 0173:	 - train_loss: 0.354389:	 - test_loss: 0.399642:	 mIoU 0.7229
31/01/2023 13:04:46 - 0174:	 - train_loss: 0.352312:	 - test_loss: 0.398305:	 mIoU 0.7275
31/01/2023 13:04:53 - 0175:	 - train_loss: 0.365970:	 - test_loss: 0.398002:	 mIoU 0.7262
31/01/2023 13:05:01 - 0176:	 - train_loss: 0.363224:	 - test_loss: 0.391929:	 mIoU 0.7266
31/01/2023 13:05:09 - 0177:	 - train_loss: 0.352441:	 - test_loss: 0.388916:	 mIoU 0.7304
31/01/2023 13:05:17 - 0178:	 - train_loss: 0.339321:	 - test_loss: 0.389666:	 mIoU 0.7309
31/01/2023 13:05:25 - 0179:	 - train_loss: 0.376299:	 - test_loss: 0.441528:	 mIoU 0.6684
31/01/2023 13:05:33 - 0180:	 - train_loss: 0.357912:	 - test_loss: 0.409804:	 mIoU 0.7062
31/01/2023 13:05:40 - 0181:	 - train_loss: 0.347110:	 - test_loss: 0.392380:	 mIoU 0.7268
31/01/2023 13:05:48 - 0182:	 - train_loss: 0.346416:	 - test_loss: 0.398476:	 mIoU 0.7190
31/01/2023 13:05:56 - 0183:	 - train_loss: 0.345005:	 - test_loss: 0.399628:	 mIoU 0.7190
31/01/2023 13:06:04 - 0184:	 - train_loss: 0.375178:	 - test_loss: 0.444953:	 mIoU 0.6487
31/01/2023 13:06:12 - 0185:	 - train_loss: 0.357217:	 - test_loss: 0.417318:	 mIoU 0.6886
31/01/2023 13:06:19 - 0186:	 - train_loss: 0.401234:	 - test_loss: 0.416517:	 mIoU 0.7071
31/01/2023 13:06:27 - 0187:	 - train_loss: 0.409081:	 - test_loss: 0.396874:	 mIoU 0.7213
31/01/2023 13:06:35 - 0188:	 - train_loss: 0.444350:	 - test_loss: 0.597943:	 mIoU 0.4325
31/01/2023 13:06:43 - 0189:	 - train_loss: 0.448661:	 - test_loss: 0.454543:	 mIoU 0.6511
31/01/2023 13:06:51 - 0190:	 - train_loss: 0.401339:	 - test_loss: 0.430309:	 mIoU 0.6915
31/01/2023 13:06:58 - 0191:	 - train_loss: 0.402451:	 - test_loss: 0.430843:	 mIoU 0.6894
31/01/2023 13:07:06 - 0192:	 - train_loss: 0.392326:	 - test_loss: 0.423309:	 mIoU 0.6944
31/01/2023 13:07:14 - 0193:	 - train_loss: 0.404056:	 - test_loss: 0.426384:	 mIoU 0.6808
31/01/2023 13:07:22 - 0194:	 - train_loss: 0.400410:	 - test_loss: 0.420345:	 mIoU 0.6919
31/01/2023 13:07:30 - 0195:	 - train_loss: 0.379605:	 - test_loss: 0.419609:	 mIoU 0.6905
31/01/2023 13:07:37 - 0196:	 - train_loss: 0.367492:	 - test_loss: 0.405942:	 mIoU 0.7142
31/01/2023 13:07:45 - 0197:	 - train_loss: 0.347934:	 - test_loss: 0.411457:	 mIoU 0.7047
31/01/2023 13:07:53 - 0198:	 - train_loss: 0.373075:	 - test_loss: 0.413091:	 mIoU 0.6995
31/01/2023 13:08:01 - 0199:	 - train_loss: 0.361066:	 - test_loss: 0.403967:	 mIoU 0.7134
31/01/2023 13:08:09 - 0200:	 - train_loss: 0.355069:	 - test_loss: 0.405190:	 mIoU 0.7117
31/01/2023 13:08:16 - 0201:	 - train_loss: 0.372219:	 - test_loss: 0.400286:	 mIoU 0.7191
31/01/2023 13:08:24 - 0202:	 - train_loss: 0.358779:	 - test_loss: 0.403598:	 mIoU 0.7210
31/01/2023 13:08:32 - 0203:	 - train_loss: 0.349163:	 - test_loss: 0.403887:	 mIoU 0.7196
31/01/2023 13:08:40 - 0204:	 - train_loss: 0.353288:	 - test_loss: 0.397119:	 mIoU 0.7272
31/01/2023 13:08:48 - 0205:	 - train_loss: 0.367090:	 - test_loss: 0.407817:	 mIoU 0.7112
31/01/2023 13:08:56 - 0206:	 - train_loss: 0.384672:	 - test_loss: 0.409086:	 mIoU 0.7139
31/01/2023 13:09:03 - 0207:	 - train_loss: 0.366183:	 - test_loss: 0.405667:	 mIoU 0.7165
31/01/2023 13:09:11 - 0208:	 - train_loss: 0.364410:	 - test_loss: 0.402310:	 mIoU 0.7186
31/01/2023 13:09:19 - 0209:	 - train_loss: 0.369265:	 - test_loss: 0.394623:	 mIoU 0.7263
31/01/2023 13:09:27 - 0210:	 - train_loss: 0.350014:	 - test_loss: 0.401041:	 mIoU 0.7198
31/01/2023 13:09:35 - 0211:	 - train_loss: 0.354736:	 - test_loss: 0.401691:	 mIoU 0.7196
31/01/2023 13:09:42 - 0212:	 - train_loss: 0.374140:	 - test_loss: 0.399066:	 mIoU 0.7167
31/01/2023 13:09:50 - 0213:	 - train_loss: 0.347079:	 - test_loss: 0.391944:	 mIoU 0.7276
31/01/2023 13:09:58 - 0214:	 - train_loss: 0.356454:	 - test_loss: 0.402988:	 mIoU 0.7126
31/01/2023 13:10:06 - 0215:	 - train_loss: 0.365872:	 - test_loss: 0.397650:	 mIoU 0.7189
31/01/2023 13:10:14 - 0216:	 - train_loss: 0.354770:	 - test_loss: 0.396517:	 mIoU 0.7216
