12/02/2023 15:09:51 - 0089:	 - train_loss: 0.472609:	 - test_loss: 0.502970:	 mIoU 0.6569
12/02/2023 15:09:54 - 0090:	 - train_loss: 0.457338:	 - test_loss: 0.485871:	 mIoU 0.6657
12/02/2023 15:09:58 - 0091:	 - train_loss: 0.514907:	 - test_loss: 0.513306:	 mIoU 0.6359
12/02/2023 15:10:01 - 0092:	 - train_loss: 0.481985:	 - test_loss: 0.506098:	 mIoU 0.6323
12/02/2023 15:10:05 - 0093:	 - train_loss: 0.469838:	 - test_loss: 0.490020:	 mIoU 0.6624
12/02/2023 15:10:08 - 0094:	 - train_loss: 0.458125:	 - test_loss: 0.487999:	 mIoU 0.6645
12/02/2023 15:10:12 - 0095:	 - train_loss: 0.471346:	 - test_loss: 0.479635:	 mIoU 0.6775
12/02/2023 15:10:15 - 0096:	 - train_loss: 0.448085:	 - test_loss: 0.471572:	 mIoU 0.6816
12/02/2023 15:10:19 - 0097:	 - train_loss: 0.497701:	 - test_loss: 0.484615:	 mIoU 0.6682
12/02/2023 15:10:22 - 0098:	 - train_loss: 0.456053:	 - test_loss: 0.473555:	 mIoU 0.6715
12/02/2023 15:10:26 - 0099:	 - train_loss: 0.446733:	 - test_loss: 0.474837:	 mIoU 0.6677
12/02/2023 15:10:29 - 0100:	 - train_loss: 0.437199:	 - test_loss: 0.476278:	 mIoU 0.6747
12/02/2023 15:10:33 - 0101:	 - train_loss: 0.461136:	 - test_loss: 0.479042:	 mIoU 0.6700
12/02/2023 15:10:36 - 0102:	 - train_loss: 0.444833:	 - test_loss: 0.484604:	 mIoU 0.6628
12/02/2023 15:10:40 - 0103:	 - train_loss: 0.449494:	 - test_loss: 0.472218:	 mIoU 0.6739
12/02/2023 15:10:43 - 0104:	 - train_loss: 0.453739:	 - test_loss: 0.485944:	 mIoU 0.6601
12/02/2023 15:10:47 - 0105:	 - train_loss: 0.443365:	 - test_loss: 0.476650:	 mIoU 0.6746
12/02/2023 15:10:50 - 0106:	 - train_loss: 0.462200:	 - test_loss: 0.477556:	 mIoU 0.6682
12/02/2023 15:10:53 - 0107:	 - train_loss: 0.446276:	 - test_loss: 0.458112:	 mIoU 0.6878
12/02/2023 15:10:57 - 0108:	 - train_loss: 0.430295:	 - test_loss: 0.465657:	 mIoU 0.6811
12/02/2023 15:11:00 - 0109:	 - train_loss: 0.442078:	 - test_loss: 0.472984:	 mIoU 0.6694
12/02/2023 15:11:04 - 0110:	 - train_loss: 0.427409:	 - test_loss: 0.483110:	 mIoU 0.6588
12/02/2023 15:11:07 - 0111:	 - train_loss: 0.452234:	 - test_loss: 0.478626:	 mIoU 0.6669
12/02/2023 15:11:11 - 0112:	 - train_loss: 0.435601:	 - test_loss: 0.484544:	 mIoU 0.6469
12/02/2023 15:11:14 - 0113:	 - train_loss: 0.444709:	 - test_loss: 0.466693:	 mIoU 0.6741
12/02/2023 15:11:18 - 0114:	 - train_loss: 0.462652:	 - test_loss: 0.456324:	 mIoU 0.6850
12/02/2023 15:11:21 - 0115:	 - train_loss: 0.434428:	 - test_loss: 0.465221:	 mIoU 0.6669
12/02/2023 15:11:25 - 0116:	 - train_loss: 0.424771:	 - test_loss: 0.487814:	 mIoU 0.6477
12/02/2023 15:11:28 - 0117:	 - train_loss: 0.402827:	 - test_loss: 0.471373:	 mIoU 0.6645
12/02/2023 15:11:32 - 0118:	 - train_loss: 0.421588:	 - test_loss: 0.473998:	 mIoU 0.6629
12/02/2023 15:11:35 - 0119:	 - train_loss: 0.424710:	 - test_loss: 0.480548:	 mIoU 0.6580
12/02/2023 15:11:39 - 0120:	 - train_loss: 0.460035:	 - test_loss: 0.471721:	 mIoU 0.6701
12/02/2023 15:11:42 - 0121:	 - train_loss: 0.401470:	 - test_loss: 0.454757:	 mIoU 0.6854
12/02/2023 15:11:46 - 0122:	 - train_loss: 0.411321:	 - test_loss: 0.482983:	 mIoU 0.6510
12/02/2023 15:11:49 - 0123:	 - train_loss: 0.415427:	 - test_loss: 0.457878:	 mIoU 0.6783
12/02/2023 15:11:52 - 0124:	 - train_loss: 0.400089:	 - test_loss: 0.460565:	 mIoU 0.6751
12/02/2023 15:11:56 - 0125:	 - train_loss: 0.417986:	 - test_loss: 0.469926:	 mIoU 0.6657
12/02/2023 15:11:59 - 0126:	 - train_loss: 0.408171:	 - test_loss: 0.472331:	 mIoU 0.6595
12/02/2023 15:12:03 - 0127:	 - train_loss: 0.410560:	 - test_loss: 0.473482:	 mIoU 0.6583
12/02/2023 15:12:06 - 0128:	 - train_loss: 0.419640:	 - test_loss: 0.469758:	 mIoU 0.6619
12/02/2023 15:12:10 - 0129:	 - train_loss: 0.442909:	 - test_loss: 0.463682:	 mIoU 0.6669
12/02/2023 15:12:13 - 0130:	 - train_loss: 0.426877:	 - test_loss: 0.460857:	 mIoU 0.6726
12/02/2023 15:12:17 - 0131:	 - train_loss: 0.432465:	 - test_loss: 0.465984:	 mIoU 0.6654
12/02/2023 15:12:20 - 0132:	 - train_loss: 0.423348:	 - test_loss: 0.477908:	 mIoU 0.6511
12/02/2023 15:12:24 - 0133:	 - train_loss: 0.428451:	 - test_loss: 0.470371:	 mIoU 0.6591
12/02/2023 15:12:27 - 0134:	 - train_loss: 0.423405:	 - test_loss: 0.473992:	 mIoU 0.6496
12/02/2023 15:12:30 - 0135:	 - train_loss: 0.409258:	 - test_loss: 0.462591:	 mIoU 0.6644
